2022-12-18 12:36:24.983 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.049 сек., всего=0.251 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.025 сек.; расстояние=7 kB, ожидалось=29 kB
2022-12-18 12:40:47.360 +04 [6372] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 12:40:47.360 +04 [4540] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 12:41:24.987 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 12:41:25.236 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.105 сек., синхр.=0.048 сек., всего=0.250 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=8 kB, ожидалось=27 kB
2022-12-18 12:49:01.697 +04 [10144] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 12:51:24.256 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 12:51:24.500 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.044 сек., всего=0.245 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.024 сек., средняя=0.022 сек.; расстояние=1 kB, ожидалось=24 kB
2022-12-18 14:06:24.614 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 14:06:24.878 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.047 сек., всего=0.264 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=2 kB, ожидалось=22 kB
2022-12-18 14:10:04.435 +04 [9892] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 14:11:24.878 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 14:11:25.270 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.215 сек., синхр.=0.080 сек., всего=0.393 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.039 сек., средняя=0.027 сек.; расстояние=7 kB, ожидалось=20 kB
2022-12-18 14:12:53.323 +04 [4300] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-12-18 14:16:24.284 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 14:16:24.550 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.047 сек., всего=0.266 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=4 kB, ожидалось=19 kB
2022-12-18 15:16:24.657 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 15:16:24.908 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.116 сек., синхр.=0.048 сек., всего=0.252 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.024 сек.; расстояние=4 kB, ожидалось=17 kB
2022-12-18 15:26:24.923 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 15:26:25.183 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.109 сек., синхр.=0.049 сек., всего=0.260 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.028 сек., средняя=0.025 сек.; расстояние=5 kB, ожидалось=16 kB
2022-12-18 15:31:24.192 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 15:31:24.452 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.102 сек., синхр.=0.048 сек., всего=0.260 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=5 kB, ожидалось=15 kB
2022-12-18 15:36:24.462 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 15:36:24.775 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.114 сек., синхр.=0.063 сек., всего=0.314 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.042 сек., средняя=0.032 сек.; расстояние=6 kB, ожидалось=14 kB
2022-12-18 15:51:24.811 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 15:51:25.056 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.113 сек., синхр.=0.045 сек., всего=0.245 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.025 сек., средняя=0.023 сек.; расстояние=7 kB, ожидалось=13 kB
2022-12-18 16:01:24.064 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 16:01:24.311 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.112 сек., синхр.=0.044 сек., всего=0.248 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.024 сек., средняя=0.022 сек.; расстояние=7 kB, ожидалось=13 kB
2022-12-18 16:18:18.141 +04 [2416] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-18 16:18:18.141 +04 [2416] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-18 16:18:18.141 +04 [2416] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-18 16:21:24.348 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 16:21:24.854 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.081 сек., всего=0.507 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.027 сек., средняя=0.021 сек.; расстояние=1 kB, ожидалось=12 kB
2022-12-18 16:46:24.897 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 16:46:25.288 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.111 сек., синхр.=0.047 сек., всего=0.391 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.027 сек., средняя=0.024 сек.; расстояние=0 kB, ожидалось=10 kB
2022-12-18 16:50:30.094 +04 [7776] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-18 16:50:30.094 +04 [7776] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-18 16:50:30.094 +04 [7776] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-18 16:51:24.292 +04 [4884] СООБЩЕНИЕ:  начата контрольная точка: time
2022-12-18 16:51:24.855 +04 [4884] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.094 сек., всего=0.563 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.028 сек., средняя=0.024 сек.; расстояние=1 kB, ожидалось=10 kB
2022-12-18 16:53:43.452 +04 [4876] РћРЁРР‘РљРђ:  РїРѕРІС‚РѕСЂСЏСЋС‰РµРµСЃСЏ Р·РЅР°С‡РµРЅРёРµ РєР»СЋС‡Р° РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ СѓРЅРёРєР°Р»СЊРЅРѕСЃС‚Рё "executive_docs_contract_id"
2022-12-18 16:53:43.452 +04 [4876] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ "("contractId")=(5)" СѓР¶Рµ СЃСѓС‰РµСЃС‚РІСѓРµС‚.
2022-12-18 16:53:43.452 +04 [4876] РћРџР•Р РђРўРћР :  INSERT INTO "executiveDocs" ("id","number","dateIssue","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId") VALUES (DEFAULT,$1,$2,$3,$4,$5,$6,$7,$8,$9,$10,$11,$12,$13) RETURNING "id","number","dateIssue","resolutionNumber","resolutionDate","main","percents","penalties","fee","sum","createdAt","updatedAt","typeId","contractId","bailiffId","agentId";
2022-12-18 16:55:29.434 +04 [5132] РћРЁРР‘РљРђ:  Р·РЅР°С‡РµРЅРёРµ NULL РІ СЃС‚РѕР»Р±С†Рµ "number" РѕС‚РЅРѕС€РµРЅРёСЏ "executiveDocs" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ NOT NULL
2022-12-18 16:55:29.434 +04 [5132] РџРћР”Р РћР‘РќРћРЎРўР:  РћС€РёР±РѕС‡РЅР°СЏ СЃС‚СЂРѕРєР° СЃРѕРґРµСЂР¶РёС‚ (11, null, null, null, null, null, null, null, null, null, 2022-12-18 12:55:29.427+00, null, null, null, null, null).
